clock,t_s,action,itemId,by,goldGain
17:31,1051,DESTROYED,2055,Seraphine,
17:31,1051,DESTROYED,1208,Seraphine,
17:31,1051,PURCHASED,2055,Seraphine,
17:52,1073,DESTROYED,3513,Ekko,
17:55,1076,DESTROYED,2055,Seraphine,
18:57,1138,DESTROYED,1001,Shen,
18:57,1138,DESTROYED,1029,Shen,
18:57,1138,PURCHASED,3047,Shen,
18:58,1139,PURCHASED,1058,Sylas,
19:03,1144,DESTROYED,2422,Diana,
19:03,1144,PURCHASED,3020,Diana,
19:09,1150,DESTROYED,1028,Janna,
19:09,1150,PURCHASED,3067,Janna,
19:24,1165,DESTROYED,2422,Ekko,
19:24,1165,PURCHASED,3020,Ekko,
19:25,1165,PURCHASED,1052,Ekko,
19:25,1165,PURCHASED,1029,Ekko,
19:27,1167,PURCHASED,1038,Ashe,
19:28,1168,PURCHASED,1018,Ashe,
19:28,1169,DESTROYED,1004,Seraphine,
19:28,1169,PURCHASED,3114,Seraphine,
19:29,1170,DESTROYED,1038,Aphelios,
19:29,1170,DESTROYED,1018,Aphelios,
19:29,1170,PURCHASED,3031,Aphelios,
19:30,1171,DESTROYED,2055,Seraphine,
19:30,1171,DESTROYED,1208,Seraphine,
19:30,1171,PURCHASED,2055,Seraphine,
19:40,1180,DESTROYED,2055,Diana,
19:44,1184,PURCHASED,1058,Locke,
20:09,1210,PURCHASED,2022,Janna,
20:11,1212,DESTROYED,2055,Janna,
20:11,1212,DESTROYED,1208,Janna,
20:11,1212,PURCHASED,2055,Janna,
20:30,1230,PURCHASED,1028,Shen,
20:30,1231,PURCHASED,1033,Shen,
20:32,1233,PURCHASED,1052,Diana,
20:33,1233,PURCHASED,1052,Diana,
20:33,1234,PURCHASED,1029,Diana,
20:56,1256,PURCHASED,2019,Riven,
20:56,1257,PURCHASED,3133,Riven,
21:49,1310,DESTROYED,2001,Riven,
21:49,1310,DESTROYED,2001,Ekko,
21:49,1310,DESTROYED,2001,Locke,
21:49,1310,DESTROYED,2001,Ashe,
21:49,1310,DESTROYED,2001,Seraphine,
21:57,1318,DESTROYED,1028,Shen,
21:57,1318,PURCHASED,3067,Shen,
22:01,1322,DESTROYED,3114,Seraphine,
22:01,1322,DESTROYED,1028,Seraphine,
22:01,1322,DESTROYED,3070,Seraphine,
22:01,1322,PURCHASED,2526,Seraphine,
22:02,1322,DESTROYED,2526,Seraphine,
22:04,1324,DESTROYED,1052,Diana,
22:04,1324,DESTROYED,1029,Diana,
22:04,1324,DESTROYED,1052,Diana,
22:04,1324,PURCHASED,2420,Diana,
22:10,1330,SOLD,1083,Aphelios,
22:10,1331,PURCHASED,1028,Seraphine,
22:11,1331,PURCHASED,1018,Aphelios,
22:11,1331,PURCHASED,1018,Aphelios,
22:12,1332,SOLD,1086,Ashe,
22:13,1333,DESTROYED,1038,Ashe,
22:13,1333,DESTROYED,1018,Ashe,
22:13,1333,PURCHASED,3031,Ashe,
22:16,1337,PURCHASED,1052,Sylas,
22:17,1337,SOLD,2031,Sylas,
22:17,1338,PURCHASED,1052,Sylas,
22:18,1338,DESTROYED,1052,Ekko,
22:18,1338,DESTROYED,1029,Ekko,
22:18,1338,PURCHASED,2420,Ekko,
22:19,1339,DESTROYED,2019,Riven,
22:19,1339,DESTROYED,3133,Riven,
22:19,1339,PURCHASED,6333,Riven,
22:22,1342,PURCHASED,2055,Riven,
22:47,1368,DESTROYED,2420,Diana,
23:01,1381,DESTROYED,2055,Janna,
23:32,1412,SOLD,2055,Riven,
23:33,1414,PURCHASED,1033,Riven,
23:34,1415,DESTROYED,2022,Janna,
23:34,1415,PURCHASED,4642,Janna,
23:36,1416,PURCHASED,1036,Aphelios,
24:01,1441,DESTROYED,2420,Ekko,
